"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"107",8,"Kirk Cousins",MIN,"QB14","7","3 out of 5 stars","+3"
"108",8,"Derek Carr",LV,"QB15","6","2 out of 5 stars","-2"
"109",8,"Darrell Henderson Jr.",LAR,"RB40","7","2 out of 5 stars","+11"
"110",8,"Pat Freiermuth",PIT,"TE11","9","4 out of 5 stars","+9"
"111",8,"Chris Olave",NO,"WR45","14","4 out of 5 stars","-2"
"112",8,"Michael Carter",NYJ,"RB41","10","4 out of 5 stars","-4"
"113",8,"Cole Kmet",CHI,"TE12","14","5 out of 5 stars","+17"
"114",8,"Treylon Burks",TEN,"WR46","6","3 out of 5 stars","+7"
"115",8,"Chase Claypool",PIT,"WR47","9","4 out of 5 stars","-4"
"116",8,"Nyheim Hines",IND,"RB42","14","3 out of 5 stars","+12"
"117",8,"James Robinson",JAC,"RB43","11","3 out of 5 stars","-2"
"118",8,"Alexander Mattison",MIN,"RB44","7","4 out of 5 stars","-2"
"119",8,"Garrett Wilson",NYJ,"WR48","10","1 out of 5 stars","+5"
"120",8,"Skyy Moore",KC,"WR49","8","2 out of 5 stars","+23"
"121",8,"Kenneth Gainwell",PHI,"RB45","7","3 out of 5 stars","+25"
"122",8,"Tyler Boyd",CIN,"WR50","10","3 out of 5 stars","+9"
"123",8,"Russell Gage",TB,"WR51","11","4 out of 5 stars","-1"
"124",8,"Hunter Henry",NE,"TE13","10","4 out of 5 stars","+55"
"125",8,"Tua Tagovailoa",MIA,"QB16","11","2 out of 5 stars","+8"
"126",8,"Jakobi Meyers",NE,"WR52","10","4 out of 5 stars","+27"
"127",8,"Mike Gesicki",MIA,"TE14","11","3 out of 5 stars","-14"
"128",8,"Justin Fields",CHI,"QB17","14","4 out of 5 stars","+11"
"129",8,"Marquez Valdes-Scantling",KC,"WR53","8","2 out of 5 stars","+8"
"130",8,"Jamaal Williams",DET,"RB46","6","4 out of 5 stars","+39"
"131",8,"J.D. McKissic",WAS,"RB47","14","4 out of 5 stars","+32"
"132",8,"Irv Smith Jr.",MIN,"TE15","7","3 out of 5 stars","+38"
"133",8,"Brian Robinson Jr.",WAS,"RB48","14","4 out of 5 stars","-16"
"134",8,"Trevor Lawrence",JAC,"QB18","11","5 out of 5 stars","+32"
"135",8,"Khalil Herbert",CHI,"RB49","14","5 out of 5 stars","+25"
"136",8,"Jarvis Landry",NO,"WR54","14","4 out of 5 stars","+6"
"137",8,"DeVante Parker",NE,"WR55","10","4 out of 5 stars","+14"
"138",8,"Tyler Allgeier",ATL,"RB50","14","1 out of 5 stars","+23"
"139",9,"Albert Okwuegbunam",DEN,"TE16","9","3 out of 5 stars","-12"
"140",9,"Rondale Moore",ARI,"WR56","13","2 out of 5 stars","+7"
"141",9,"Noah Fant",SEA,"TE17","11","2 out of 5 stars","+46"
"142",9,"George Pickens",PIT,"WR57","9","4 out of 5 stars","-6"
"143",9,"Raheem Mostert",MIA,"RB51","11","4 out of 5 stars","+11"
"144",9,"David Njoku",CLE,"TE18","9","4 out of 5 stars","+27"
"145",9,"Michael Gallup",DAL,"WR58","9","3 out of 5 stars","+30"
"146",9,"DJ Chark Jr.",DET,"WR59","6","3 out of 5 stars","+16"
"147",9,"Jameis Winston",NO,"QB19","14","3 out of 5 stars","+35"
"148",9,"Kenny Golladay",NYG,"WR60","9","4 out of 5 stars","-4"
"149",9,"Matt Ryan",IND,"QB20","14","3 out of 5 stars","+27"
"150",9,"Julio Jones",TB,"WR61","11","4 out of 5 stars","-2"
"151",9,"Isaiah Spiller",LAC,"RB52","8","2 out of 5 stars","-22"
"152",9,"Gerald Everett",LAC,"TE19","8","4 out of 5 stars","+48"
"153",9,"Robert Tonyan",GB,"TE20","14","1 out of 5 stars","+37"
"154",9,"Tyler Higbee",LAR,"TE21","7","3 out of 5 stars","+57"
"155",9,"Jahan Dotson",WAS,"WR62","14","4 out of 5 stars","+41"
"156",9,"Rachaad White",TB,"RB53","11","2 out of 5 stars","-15"
"157",9,"Evan Engram",JAC,"TE22","11","4 out of 5 stars","+28"
"158",9,"Ryan Tannehill",TEN,"QB21","6","4 out of 5 stars","+6"
"159",9,"Buffalo Bills",BUF,"DST1","7","4 out of 5 stars","-58"
"160",9,"Nico Collins",HOU,"WR63","6","3 out of 5 stars","+79"
"161",9,"Austin Hooper",TEN,"TE23","6","5 out of 5 stars","+58"
"162",9,"Tampa Bay Buccaneers",TB,"DST2","11","4 out of 5 stars","-50"
"163",9,"Corey Davis",NYJ,"WR64","10","1 out of 5 stars","+54"
"164",9,"Mac Jones",NE,"QB22","10","4 out of 5 stars","+4"
"165",9,"San Francisco 49ers",SF,"DST3","9","4 out of 5 stars","-31"
"166",9,"Daniel Jones",NYG,"QB23","9","5 out of 5 stars","+72"
"167",9,"Marlon Mack",HOU,"RB54","6","3 out of 5 stars","-15"
"168",9,"Joshua Palmer",LAC,"WR65","8","3 out of 5 stars","+45"
"169",9,"Mecole Hardman",KC,"WR66","8","2 out of 5 stars","-11"
"170",9,"Robbie Anderson",CAR,"WR67","13","3 out of 5 stars","+46"
"171",9,"Indianapolis Colts",IND,"DST4","14","3 out of 5 stars","-26"
"172",9,"Mark Ingram II",NO,"RB55","14","3 out of 5 stars","+1"
"173",10,"Gus Edwards",BAL,"RB56","10","4 out of 5 stars","+11"
"174",10,"Justin Tucker",BAL,"K1","10","3 out of 5 stars","-67"
"175",10,"K.J. Osborn",MIN,"WR68","7","2 out of 5 stars","+40"
"176",10,"Van Jefferson",LAR,"WR69","7","2 out of 5 stars","+32"
"177",10,"Jameson Williams",DET,"WR70","6","3 out of 5 stars","-12"
"178",10,"Darrel Williams",ARI,"RB57","13","2 out of 5 stars","+2"
"179",10,"Denver Broncos",DEN,"DST5","9","3 out of 5 stars","-29"
"180",10,"Marvin Jones Jr.",JAC,"WR71","11","4 out of 5 stars","+40"
"181",10,"Hayden Hurst",CIN,"TE24","10","2 out of 5 stars","+26"
"182",10,"New Orleans Saints",NO,"DST6","14","3 out of 5 stars","-44"
"183",10,"Zamir White",LV,"RB58","6","2 out of 5 stars","+12"
"184",10,"Los Angeles Rams",LAR,"DST7","7","3 out of 5 stars","-49"
"185",10,"Sony Michel",MIA,"RB59","11","4 out of 5 stars","-4"
"186",10,"Logan Thomas",WAS,"TE25","14","4 out of 5 stars","+60"
"187",10,"New England Patriots",NE,"DST8","10","3 out of 5 stars","-28"
"188",10,"Tyler Bass",BUF,"K2","7","4 out of 5 stars","-33"
"189",10,"D'Onta Foreman",CAR,"RB60","13","3 out of 5 stars","-3"
"190",10,"Carson Wentz",WAS,"QB24","14","4 out of 5 stars","+8"
"191",10,"Matt Gay",LAR,"K3","7","2 out of 5 stars","-42"
"192",10,"Christian Watson",GB,"WR72","14","3 out of 5 stars","-35"
"193",10,"Wan'Dale Robinson",NYG,"WR73","9","4 out of 5 stars","+33"
"194",10,"Jared Goff",DET,"QB25","6","3 out of 5 stars","+16"
