year,week,team_winner,manager_winner,team_loser,manager_loser,score_winner,score_loser
2020,9,StumpfistTrumpf,Stumpf,MKx,Marc,116.9,93.1
2020,9,Blitzkoerper85,Tobsenheimi,seb44,Hagen,119.1,116.78
2020,10,TheRealBauer,Bauer,StumpfistTrumpf,Stumpf,129.9,84.6
2020,10,Hubner,Hubner,seb44,Hagen,132.16,67.04
2020,10,Blitzkoerper85,Tobsenheimi,MarkusEXperte,Markus,142.16,77.48
2020,10,Hammichan,Ha,MKx,Marc,116.72,76.12
2020,10,AllTimeReadyPat,Patrick,Speasy,Speasy,157.64,98.68
2020,11,TheRealBauer,Bauer,Blitzkoerper85,Tobsenheimi,138.16,97.88
2020,11,Hubner,Hubner,AllTimeReadyPat,Patrick,125.14,83.84
2020,11,Hammichan,Ha,MarkusEXperte,Markus,159.86,114.52
2020,11,seb44,Hagen,MKx,Marc,111.76,108.58
2020,11,Speasy,Speasy,StumpfistTrumpf,Stumpf,119.1,105.64
2020,12,TheRealBauer,Bauer,MKx,Marc,121.9,83.8
2020,12,MarkusEXperte,Markus,Hubner,Hubner,213.38,142.82
2020,12,Hammichan,Ha,Blitzkoerper85,Tobsenheimi,123.12,95.08
2020,12,seb44,Hagen,Speasy,Speasy,117.24,106.64
2020,12,AllTimeReadyPat,Patrick,StumpfistTrumpf,Stumpf,101.22,88.44
2020,13,seb44,Hagen,TheRealBauer,Bauer,97.26,93.52
2020,13,Hubner,Hubner,Blitzkoerper85,Tobsenheimi,146.88,108.4
2020,13,MarkusEXperte,Markus,AllTimeReadyPat,Patrick,147.82,134.8
2020,13,MKx,Marc,Speasy,Speasy,115.22,85.1
2020,13,StumpfistTrumpf,Stumpf,Hammichan,Ha,170.2,123.84
2020,14,Speasy,Speasy,Hubner,Hubner,135.6,132.52
2020,14,MarkusEXperte,Markus,AllTimeReadyPat,Patrick,158.52,85.54
2020,14,seb44,Hagen,MKx,Marc,120.18,91.54
2020,14,Blitzkoerper85,Tobsenheimi,Hammichan,Ha,115.22,111.36
2020,15,Speasy,Speasy,TheRealBauer,Bauer,120.06,116.54
2020,15,Hubner,Hubner,AllTimeReadyPat,Patrick,124.82,116.2
2020,15,StumpfistTrumpf,Stumpf,MarkusEXperte,Markus,143.62,140.46
2020,15,MKx,Marc,Hammichan,Ha,104.44,102.62
2020,15,Blitzkoerper85,Tobsenheimi,seb44,Hagen,157.16,145.72
2020,16,TheRealBauer,Bauer,MarkusEXperte,Markus,114.4,91.82
2020,16,StumpfistTrumpf,Stumpf,Speasy,Speasy,144.64,124.48
